symbol,contractType,status,baseAsset,t0Iso,origin,spotFirstIso,mexcFirstIso
BTCUSDC,PERPETUAL,TRADING,BTC,2024-01-04T12:00:00.000Z,C,2017-08-17,2025-03-24
ETHUSDC,PERPETUAL,TRADING,ETH,2024-01-04T12:00:00.000Z,C,2017-08-17,2025-03-24
SOLUSDC,PERPETUAL,TRADING,SOL,2024-01-04T12:00:00.000Z,C,2020-08-11,2024-12-13
XRPUSDC,PERPETUAL,TRADING,XRP,2024-01-04T12:00:00.000Z,C,2018-05-04,2025-03-25
AIUSDT,PERPETUAL,SETTLING,AI,2024-01-08T12:00:00.000Z,A,2024-01-04,
XAIUSDT,PERPETUAL,TRADING,XAI,2024-01-09T14:00:00.000Z,A,2024-01-09,2024-01-10
DOGEUSDC,PERPETUAL,TRADING,DOGE,2024-01-18T10:00:00.000Z,C,2019-07-05,2024-12-13
MANTAUSDT,PERPETUAL,TRADING,MANTA,2024-01-18T14:00:00.000Z,A,2024-01-18,2024-01-18
WIFUSDT,PERPETUAL,TRADING,WIF,2024-01-18T14:00:00.000Z,B,2024-03-05,2024-01-11
ONDOUSDT,PERPETUAL,TRADING,ONDO,2024-01-20T13:00:00.000Z,A,2025-04-11,2024-01-20
ALTUSDT,PERPETUAL,TRADING,ALT,2024-01-25T14:00:00.000Z,B,2024-01-25,2023-01-28
LSKUSDT,PERPETUAL,TRADING,LSK,2024-01-25T14:00:00.000Z,C,2020-02-06,2024-01-04
JUPUSDT,PERPETUAL,TRADING,JUP,2024-01-31T18:00:00.000Z,A,2024-01-31,2024-01-31
