block,universe,regime,bucket,filter,dir,holdDays,n,mean,median,sd,se,t,winPct,maeP95,maeP99,exWorst10
regime,ALL,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,short,14,76,1.2029,11.8845,54.3825,6.2381,0.1928,67.11,259.547,284.579,17.4256
regime,ALL,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,short,29,76,-7.4549,-1.6759,76.0421,8.7226,-0.8547,48.68,281.290,392.098,14.6268
regime,ALL,R2 BTC 30d ret,UP (>=+5%),F0 no filter,short,1,149,0.6896,3.8402,19.9105,1.6311,0.4228,65.10,47.807,136.093,4.4396
regime,ALL,R2 BTC 30d ret,UP (>=+5%),F0 no filter,short,3,149,2.9070,6.3740,27.8194,2.2791,1.2755,69.13,73.411,199.481,8.7573
regime,ALL,R2 BTC 30d ret,UP (>=+5%),F0 no filter,short,7,149,-8.2103,9.5358,139.9645,11.4663,-0.7160,68.46,146.975,295.708,9.7979
regime,ALL,R2 BTC 30d ret,UP (>=+5%),F0 no filter,short,14,149,-13.4601,8.9034,100.0513,8.1965,-1.6422,61.74,195.009,527.881,7.0442
regime,ALL,R2 BTC 30d ret,UP (>=+5%),F0 no filter,short,29,149,-21.1813,14.6732,123.7487,10.1379,-2.0893,59.06,377.727,946.009,3.9930
regime,ALL,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,long,1,61,5.9083,-1.0159,31.7436,4.0644,1.4537,44.26,55.110,191.353,9.9369
regime,ALL,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,long,3,61,2.5590,-5.5739,39.1337,5.0106,0.5107,39.34,124.565,294.066,8.6758
regime,ALL,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,long,7,61,2.6660,-10.2768,54.6386,6.9958,0.3811,31.15,143.006,411.736,11.2063
regime,ALL,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,long,14,61,-2.7204,-14.2533,43.5169,5.5718,-0.4883,34.43,169.037,411.736,5.0215
regime,ALL,R2 BTC 30d ret,DOWN (<=-5%),F0 no filter,long,29,61,1.5597,-4.7836,43.9032,5.6212,0.2775,40.98,199.242,411.736,11.6158
regime,ALL,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,long,1,76,2.2661,-2.3828,28.8326,3.3073,0.6852,38.16,76.680,209.643,6.6878
regime,ALL,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,long,3,76,0.2497,-5.2022,30.2283,3.4674,0.0720,36.84,99.175,209.643,5.4711
regime,ALL,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,long,7,76,0.2844,-9.6688,50.3221,5.7723,0.0493,34.21,205.602,259.547,7.4063
regime,ALL,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,long,14,76,-1.2829,-11.9645,54.3825,6.2381,-0.2057,32.89,259.547,284.579,7.1432
regime,ALL,R2 BTC 30d ret,FLAT (-5..+5%),F0 no filter,long,29,76,7.3749,1.5959,76.0421,8.7226,0.8455,51.32,281.290,392.098,19.8728
regime,ALL,R2 BTC 30d ret,UP (>=+5%),F0 no filter,long,1,149,-0.7696,-3.9202,19.9105,1.6311,-0.4718,32.89,47.807,136.093,1.0207
regime,ALL,R2 BTC 30d ret,UP (>=+5%),F0 no filter,long,3,149,-2.9870,-6.4540,27.8194,2.2791,-1.3106,30.87,73.411,199.481,-0.1866
regime,ALL,R2 BTC 30d ret,UP (>=+5%),F0 no filter,long,7,149,8.1303,-9.6158,139.9645,11.4663,0.7091,30.87,146.975,295.708,12.2275
regime,ALL,R2 BTC 30d ret,UP (>=+5%),F0 no filter,long,14,149,13.3801,-8.9834,100.0513,8.1965,1.6324,37.58,195.009,527.881,18.5338
regime,ALL,R2 BTC 30d ret,UP (>=+5%),F0 no filter,long,29,149,21.1013,-14.7532,123.7487,10.1379,2.0814,40.94,377.727,946.009,27.3886
regime,ALL,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,short,1,44,-9.1034,0.0351,35.4842,5.3495,-1.7017,50.00,136.092,156.392,4.3836
regime,ALL,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,short,3,44,-5.4474,-0.0435,33.1502,4.9976,-1.0900,50.00,172.656,216.927,7.6046
regime,ALL,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,short,7,44,-8.6249,6.4309,56.7840,8.5605,-1.0075,56.82,234.183,277.385,13.6987
regime,ALL,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,short,14,44,-8.6186,1.5630,52.9550,7.9833,-1.0796,54.55,242.773,277.385,11.8239
regime,ALL,R3 BTC vs 200SMA,BELOW 200SMA,F0 no filter,short,29,44,-31.0916,-11.5259,79.1948,11.9391,-2.6042,34.09,275.519,439.124,0.0739
regime,ALL,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,short,1,242,-0.1665,3.2358,22.8980,1.4719,-0.1131,63.64,52.240,177.969,3.3170
regime,ALL,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,short,3,242,2.0115,6.6502,30.6980,1.9733,1.0193,68.60,92.082,196.620,6.6804
regime,ALL,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,short,7,242,-4.2935,10.9957,114.0085,7.3287,-0.5859,69.83,161.744,362.792,8.9391
regime,ALL,R3 BTC vs 200SMA,ABOVE 200SMA,F0 no filter,short,14,242,-5.6771,12.5896,84.3042,5.4193,-1.0476,65.70,193.835,458.703,7.5574
