entryH,SL,TP,maxHold,n,skipped,winRate,avgPnL,medPnL,tpCount,slCount,timeoutCount,timeoutWin,timeoutLoss,timeoutRate,bothTouched
12,20,10,7,485,0,56.08,-0.285,2.140,188,83,214,84,130,44.1,3
12,20,10,14,485,0,57.32,-0.087,3.621,220,94,171,58,113,35.3,3
12,20,15,3,485,0,49.90,-0.236,-0.002,103,83,299,139,160,61.6,0
12,20,15,7,485,0,51.55,-0.341,0.397,135,100,250,115,135,51.5,0
12,20,15,14,485,0,51.55,-0.233,0.232,154,114,217,96,121,44.7,0
12,20,20,3,485,0,47.63,-0.339,-0.230,78,93,314,153,161,64.7,0
12,20,20,7,485,0,48.25,-0.618,-0.344,98,112,275,136,139,56.7,0
12,20,20,14,485,0,47.63,-0.359,-0.576,117,127,241,114,127,49.7,0
12,20,30,3,485,0,45.98,-0.154,-0.371,45,99,341,178,163,70.3,0
12,20,30,7,485,0,45.36,-0.535,-0.984,64,124,297,156,141,61.2,0
12,20,30,14,485,0,44.33,-0.189,-1.439,77,142,266,138,128,54.8,0
12,25,3,3,485,0,67.63,-0.673,2.960,288,32,165,40,125,34.0,2
12,25,3,7,485,0,72.99,-0.740,2.960,340,36,109,14,95,22.5,2
12,25,3,14,485,0,75.88,-0.615,2.960,362,37,86,6,80,17.7,2
12,25,5,3,485,0,62.89,-0.408,3.224,234,40,211,71,140,43.5,2
12,25,5,7,485,0,67.01,-0.503,4.960,290,45,150,35,115,30.9,2
12,25,5,14,485,0,69.48,-0.303,4.960,320,49,116,17,99,23.9,2
12,25,8,3,485,0,57.73,-0.267,1.231,181,50,254,99,155,52.4,2
12,25,8,7,485,0,60.82,-0.355,5.291,232,58,195,63,132,40.2,2
12,25,8,14,485,0,62.47,-0.183,7.960,260,66,159,43,116,32.8,2
12,25,10,3,485,0,55.46,-0.262,0.791,156,58,271,113,158,55.9,2
12,25,10,7,485,0,57.94,-0.365,2.568,197,66,222,84,138,45.8,2
12,25,10,14,485,0,59.59,-0.049,4.931,230,75,180,59,121,37.1,2
12,25,15,3,485,0,51.55,-0.256,0.202,110,68,307,140,167,63.3,0
12,25,15,7,485,0,53.81,-0.355,1.252,144,80,261,117,144,53.8,0
12,25,15,14,485,0,54.23,-0.062,1.337,165,91,229,98,131,47.2,0
12,25,20,3,485,0,49.48,-0.349,-0.018,84,77,324,156,168,66.8,0
12,25,20,7,485,0,50.72,-0.584,0.207,107,91,287,139,148,59.2,0
12,25,20,14,485,0,50.52,-0.159,0.121,127,103,255,118,137,52.6,0
12,25,30,3,485,0,47.84,-0.165,-0.193,49,83,353,183,170,72.8,0
12,25,30,7,485,0,48.04,-0.391,-0.355,71,102,312,162,150,64.3,0
12,25,30,14,485,0,47.42,0.119,-0.649,86,117,282,144,138,58.1,0
12,30,3,3,485,0,68.25,-0.774,2.960,291,28,166,40,126,34.2,1
12,30,3,7,485,0,73.61,-0.863,2.960,343,32,110,14,96,22.7,1
12,30,3,14,485,0,76.70,-0.724,2.960,366,33,86,6,80,17.7,1
12,30,5,3,485,0,63.71,-0.474,3.501,238,34,213,71,142,43.9,1
12,30,5,7,485,0,67.84,-0.580,4.960,294,38,153,35,118,31.5,1
12,30,5,14,485,0,70.52,-0.448,4.960,325,44,116,17,99,23.9,2
12,30,8,3,485,0,58.76,-0.287,1.407,186,42,257,99,158,53.0,1
12,30,8,7,485,0,61.86,-0.451,5.903,237,49,199,63,136,41.0,1
12,30,8,14,485,0,63.71,-0.305,7.960,266,57,162,43,119,33.4,2
12,30,10,3,485,0,56.29,-0.427,0.897,160,51,274,113,161,56.5,1
12,30,10,7,485,0,58.76,-0.606,3.210,201,58,226,84,142,46.6,1
12,30,10,14,485,0,60.62,-0.320,6.858,235,67,183,59,124,37.7,1
12,30,15,3,485,0,52.16,-0.575,0.221,113,62,310,140,170,63.9,0
12,30,15,7,485,0,54.43,-0.792,1.316,147,73,265,117,148,54.6,0
12,30,15,14,485,0,55.05,-0.559,1.750,168,84,233,99,134,48.0,0
12,30,20,3,485,0,50.31,-0.661,0.035,86,70,329,158,171,67.8,0
12,30,20,7,485,0,51.34,-1.084,0.382,110,83,292,139,153,60.2,0
12,30,20,14,485,0,51.34,-0.689,0.184,130,95,260,119,141,53.6,0
12,30,30,3,485,0,48.66,-0.485,-0.101,50,74,361,186,175,74.4,0
12,30,30,7,485,0,48.87,-0.820,-0.272,75,93,317,162,155,65.4,0
12,30,30,14,485,0,48.87,-0.106,-0.298,91,105,289,146,143,59.6,0
12,40,3,3,485,0,69.28,-0.843,2.960,296,22,167,40,127,34.4,1
12,40,3,7,485,0,75.05,-0.798,2.960,350,23,112,14,98,23.1,1
12,40,3,14,485,0,78.35,-0.623,2.960,374,23,88,6,82,18.1,1
12,40,5,3,485,0,64.95,-0.456,4.960,244,25,216,71,145,44.5,1
12,40,5,7,485,0,69.69,-0.424,4.960,303,27,155,35,120,32.0,1
12,40,5,14,485,0,72.99,-0.051,4.960,337,28,120,17,103,24.7,1
12,40,8,3,485,0,60.00,-0.345,1.734,192,31,262,99,163,54.0,1
12,40,8,7,485,0,63.71,-0.355,7.960,246,36,203,63,140,41.9,1
